Regulator	Target	MI
ATM	FANCD2	1
STAT5B	IL2RA	1
SLC16A1	FOXO1	1
STAT5A	IL2RA	1
SP1	SKP2	1
FAM120B	ANGPTL4	1
HDGF	CDH1	-1
SATB1	FOXO3	1
RELA	PROX1	1
POU5F1	HLX	-1
KDM3A	NKX3-1	1
SP1	PLAUR	1
TCF7L2	INCENP	1
FABP2	HNF1A	1
CEACAM5	CTNNB1	1
CEACAM6	CTNNB1	1
CEACAM1	CTNNB1	1
CD3D	ETS1	1
MAX	DNTT	-1
ETS1	CD8A	1
EP300	CYBB	-1
NR4A1	MDM2	-1
PRG4	FOXO1	-1
STAT1	TLR3	1
EP300	BCL2L11	1
VDR	CALB1	1
SUPT16H	ATM	1
SUPT16H	ATR	1
HNF1A	UGT2B17	1
STAT1	NR1H4	-1
EPAS1	HIGD1A	1
PMAIP1	MYC	1
MYC	PMAIP1	1
NFKB1	IL17C	1
NFKB1	IL17A	1
HSD11B1	CEBPA	1
HSD11B1	CEBPB	1
ARNT	EFNA1	1
GLI2	WNT2B	1
EPB41L4A	CTNNB1	1
TF	NR2F1	-1
HELZ2	FABP1	1
HELZ2	FABP4	1
PPARA	ACADM	1
HNF4A	FABP2	1
WNT1	CEBPA	-1
RXRA	APOA5	1
CNN2	CTNNB1	1
IRF3	IFNA1	1
IRF5	IFNA1	1
IRF7	IFNA1	1
IRF7	IFNA2	1
IRF1	IFNA1	1
PAX3	BCL2L1	1
RXRA	APOA1	1
RXRA	APOA2	1
DHFR	E2F1	1
E2F1	DHFR	1
IRF1	IFNB1	1
IRF2	IFNB1	1
IRF3	IFNB1	1
EP300	ALOX15	1
HIST2H3C	KLK2	1
HIST2H3C	KLK3	1
MYB	CASP6	1
NFKB1	IL12A	1
NFKB1	IL12B	1
SP1	DNMT1	1
LIN9	CDC25A	-1
YBX1	CCNB1	-1
RARA	ABCC3	-1
NELFCD	CDKN1A	1
HELZ2	AGT	1
PITX1	NKX3-1	-1
GNAZ	AKT3	1
MAPK6	GLI2	-1
TBL1XR1	HMGCR	1
MYC	DNTT	-1
HDAC3	BGLAP	-1
MECP2	OPRK1	1
RELA	TRAF1	1
SIRT1	HYOU1	1
GATA4	FABP2	1
HELZ2	ME1	1
PTGDR	CDC25A	1
ZIC2	TCF4	-1
USF1	SLC19A1	1
USF2	SLC19A1	1
EGF	TERT	1
RORA	SREBF1	1
H19	E2F6	-1
FLI1	GATA1	1
TGS1	G0S2	1
HIST1H2BG	BCL2	1
HIST1H2BH	BCL2	1
HIST1H2BA	BCL2	1
HIST1H2BB	BCL2	1
HIST1H2BD	BCL2	1
FOXO1	POMC	-1
HIST1H2BM	BCL2	1
HIST1H2BN	BCL2	1
HIST1H2BO	BCL2	1
HIST1H2BJ	BCL2	1
HIST1H2BK	BCL2	1
HIST1H2BL	BCL2	1
MTF1	MCAT	1
HIST1H2AC	BCL2	1
MEF2D	ATF3	1
BRCA1	DDB2	1
CAMK1	GLI2	1
SP1	DNASE2	1
REST	GRIN1	-1
SP3	DNASE2	1
HELZ2	LPL	1
CST4	CTNNB1	1
EWSR1	TGFBR2	-1
FOXM1	ESR1	1
MED1	PEX11A	1
ABL1	CDKN1A	1
CCPG1	GLI1	-1
LMO2	CTNNB1	1
ARNTL	NAMPT	1
ESR1	FOXP1	1
STAT3	CDK4	1
PA2G4	AGR2	1
HNF4A	MYC	1
STAT4	GSTA2	1
MYC	DKK1	-1
FAM120B	LPL	1
CBX8	CDKN1A	-1
HNF4A	NR1I2	1
UGCG	CTNNB1	1
ATF4	IRF7	-1
TCF7	AXIN2	1
CTGF	CTNNB1	1
POU5F1	ID2	-1
SP1	ITGB3	-1
SP1	ITGAV	-1
NFKB1	MMP1	1
NFKB1	MMP2	1
PPARA	ACOX1	1
BTG2	HRAS	-1
ESR1	FOXA1	1
S100A4	CTNNB1	1
NCOA1	APOA2	1
NCOA2	APOA1	1
NCOA2	APOA2	1
NCOA1	APOA5	1
NCOA1	APOA1	1
NCOA6	APOA5	1
NCOA2	APOA5	1
NCOA6	APOA1	1
NCOA6	APOA2	1
ING4	SKP2	-1
NFKB1	NOLC1	1
SCGB1A1	TTF1	1
NFKB1	MMP9	1
RUNX1	OCLN	1
CBFB	CDKN1A	-1
HOXB7	EGFR	1
HDAC11	IL17A	-1
RELA	ADORA1	1
KLF15	LRP5	1
TWIST1	TIMP1	-1
ELF3	SPRR1B	1
ELF3	SPRR2A	1
MAPK1	EGR1	1
MAPK3	EGR1	1
STAT1	CCL3	1
STAT3	CCL2	1
CCL2	STAT3	1
CCL5	STAT1	1
ZNF638	PPARG	1
COL2A1	EGR1	-1
MAPK14	TRPV1	1
NFKBIA	TRAF1	-1
STAT6	CD74	1
CEBPA	HSD17B11	1
RB1	DHFR	-1
ZBTB33	MMP7	-1
TGS1	FADS1	1
RNF187	CDK1	1
STAT1	CCR1	1
VHL	SPARC	1
STAT3	CD46	1
STAT1	CD40	1
NR3C1	STAT1	-1
SIRT1	MYC	-1
EP300	SGK1	1
STAT1	CD22	1
SUPT16H	FANCI	1
TFAP2A	ECM1	1
TFAP2C	ECM1	1
ERG	ICAM1	-1
HDAC2	TNFSF10	-1
ZBTB2	CDKN1A	-1
SPRR2A	GLI2	-1
ZBTB5	CDKN1A	-1
JUNB	GJA1	1
ELL	E2F1	-1
LHB	AR	-1
STAT3	FASLG	-1
EHMT2	SIAH1	-1
TGS1	ANKRD1	1
GATA4	AMH	1
NR3C1	UGT1A1	1
SMTN	RBPJ	-1
DHX15	AR	1
MED9	LEP	-1
MED6	LEP	-1
MED7	LEP	-1
MED8	LEP	-1
MED1	LEP	-1
MED4	LEP	-1
TEAD1	MSLN	1
TFAP2A	VEGFA	1
TDGF1	CTNNB1	1
CCNG2	GLI2	-1
TBXAS1	TP53	-1
TP53	TBXAS1	-1
DNAJB4	YY1	1
YY1	DNAJB4	1
HIF1A	CCR7	1
MSC	MCM7	-1
SP1	UGT1A4	1
TFAP2A	SLC19A1	1
FOSB	MMP9	-1
IL12RB1	TBX21	1
CRAT	CTNNB1	1
FANCI	FANCD2	1
FANCD2	FANCI	1
IL12RB2	TBX21	1
MAX	BMI1	1
REST	OPRM1	-1
RELA	CYP19A1	-1
TAL1	ALDH1A2	1
AR	SMARCC1	1
STAT4	CFL1	1
CREBBP	EIF2S1	1
TGS1	GLIPR1	1
ELL	FANCD2	1
HOXA2	ROBO2	1
DNMT1	IL32	-1
MAX	DKK1	-1
ZBTB17	NDRG2	1
FOXO1	TRIM63	1
FOXO3	TRIM63	1
FOXM1	ETV5	1
DIS3	CXCL8	-1
JAK2	SOCS3	-1
CREBBP	LEP	-1
PPARGC1A	CYP7A1	1
TERT	AXIN2	1
DNMT1	RELN	-1
IL6ST	IL2	-1
ALPI	SMAD4	1
MSX1	DLK1	1
ALPI	SMAD2	1
ALPI	SMAD3	1
RBMX	JUND	-1
TGFA	FOS	1
SP1	ADRA2B	1
RBMX	JUNB	-1
GSN	KLK3	1
NFYA	CCND2	1
NFYB	CCND2	1
ATF2	PLAT	1
NFYC	CCND2	1
ATF2	PLAU	1
ATF4	PLAU	1
CIITA	HLA-DOB	1
CIITA	HLA-DOA	1
ARNT	PFKL	1
ZNF300	CDKN1A	-1
ZNF300	CDKN1B	-1
TRBC1	IFNG	1
CIITA	HLA-DMA	1
CIITA	HLA-DMB	1
EGR1	CCND1	1
NKX2-2	INS	1
NR2F2	POU5F1	-1
NR5A2	STAR	1
NUTF2	MYC	1
ELF1	CSF2	1
ERCC2	CDKN1A	1
TP53	BDKRB2	1
STAT1	MMP13	-1
TP63	BDKRB2	1
TCF3	CR2	1
CTR9	GLI2	-1
CCND1	CTNNB1	1
CTNNB1	CCND1	1
CTNNB1	CCND2	1
FOS	NFKB1	-1
SP1	ABCA1	1
SP1	ABCB8	1
HELZ2	ANGPTL4	1
STAT3	TCF7L2	1
SP1	ABCC3	1
INS	HNF1B	1
SP1	ABCB1	1
ABCB1	SP1	1
INS	HNF1A	1
EP300	CSF2	-1
PLAU	FOXO3	-1
TP53	HIF1A	1
FN1	NFKB1	-1
ZBTB16	CRABP1	1
HDAC4	HOXB13	-1
MAML1	EGR1	1
FAM120B	FABP4	1
E2F1	SIVA1	1
POLR2C	MDC1	1
POLR2D	MDC1	1
POLR2E	MDC1	1
POLR2F	MDC1	1
POLR2A	MDC1	1
POLR2B	MDC1	1
POLR2K	MDC1	1
POLR2L	MDC1	1
POLR2G	MDC1	1
POLR2H	MDC1	1
POLR2I	MDC1	1
POLR2J	MDC1	1
PARP1	BCL2	-1
POU2AF1	TK1	1
ZNF175	NTF3	1
JUN	TH	-1
HNF1A	G6PC	1
TP63	HES1	-1
NPAS2	CRY1	1
NPAS2	CRY2	1
CDCA4	E2F1	1
CDCA4	E2F2	1
CDCA4	E2F3	1
CDCA4	E2F4	1
CDCA7	E2F1	1
E2F1	CDCA7	1
CDCA7	E2F2	1
CDCA7	E2F3	1
CDCA7	E2F4	1
NR1I2	BCL2	1
CEBPD	CCL20	1
EGR1	WNT4	-1
TAL1	ERG	1
SOX2	VIM	1
EZH2	SATB1	-1
PGR	BCL2	1
GTF2H1	BRCA1	1
GTF2H2	BRCA1	1
GTF2F1	BRCA1	1
GTF2F2	BRCA1	1
ICAM1	NFKB1	1
NFKB1	ICAM1	1
GTF2H3	BRCA1	1
GTF2H4	BRCA1	1
GTF2H5	BRCA1	1
ARNT	PGK1	1
PPARA	CETP	1
TP53	BNIP3L	1
CDK12	MDC1	1
AR	CDK20	1
ARNT	PGM1	1
CIITA	HLA-DRA	1
RBPJ	FCER2	1
FCER2	RBPJ	1
BCL2L2	CTNNB1	1
STAR	SP1	1
STAT6	CYP2E1	1
HNF1A	LCT	1
ACLY	SREBF2	1
ACLY	SREBF1	1
SREBF1	ACLY	1
TP63	HBP1	-1
TGS1	AGT	1
TFAP4	PPP2R2B	-1
FGF18	CTNNB1	1
LPA	HNF1A	1
FGF20	CTNNB1	1
SMAD3	CYP7A1	-1
IL13	FCER2	1
EXOSC8	MYC	1
PAX5	CCND1	-1
RUNX3	HES1	-1
SIN3A	MYC	-1
TP63	FDXR	1
PPARA	ALAS1	1
PPARG	EGFR	-1
TP53	FDXR	1
PTGDR	CDKN1A	1
PTGDR	CDKN1B	1
BAMBI	TCF7L2	1
MED1	CYP4A11	1
PTGDR	CDKN2C	1
STAT1	KRT17	1
STAT3	KRT17	1
ESR1	CTNNB1	-1
NOTCH3	DLGAP5	1
HNF4A	ABCG8	-1
HNF4A	ABCG5	-1
FLI1	MMP1	-1
E2F1	E2F2	1
E2F1	E2F3	1
E2F1	E2F6	1
RORA	CPT1A	1
HDAC9	IGFBP1	-1
AR	XIAP	-1
RELA	HPSE	1
UGCG	GLI2	-1
CHD9	PPARA	1
CTNNB1	CLDN2	1
PPARA	CYP7A1	1
MAX	ITGB4	-1
MAX	ITGB1	-1
DAPK2	KLF6	1
KLF6	DAPK2	1
MAX	ITGA6	-1
SREBF1	CAV1	-1
HIST2H2AA3	CCND1	1
IL2	IL2RG	-1
SP1	BBC3	1
PTHLH	SMAD4	1
PTHLH	SMAD3	1
SMAD3	PTHLH	1
MYC	ITGB1	-1
JAK2	GZMA	1
JAK2	GZMB	1
MYC	ITGB4	-1
MYC	ITGA6	-1
TFAP2C	EGFR	1
KLF3	CKM	1
TGS1	FABP1	1
BTF3	ATM	1
CTBP1	HEY1	-1
TP53	PPM1J	1
ZNF467	PPARG	1
NR5A2	ABCG8	1
RELA	RIPK2	1
FOSL2	NOS2	1
FOSL1	NOS3	1
NR5A2	ABCG5	1
PARP1	SERPINE1	1
KAT5	NCL	1
XBP1	DNAJC3	1
USF1	CD2	1
USF2	CD2	1
CLOCK	DBP	1
TCF7L2	HECA	-1
ISYNA1	CTNNB1	-1
FOXM1	HIST1H2BA	1
NFKB1	FAF1	1
TLE1	CTNNB1	1
TBL1X	TRIB3	1
CDX2	PTGS2	-1
XBP1	DNAJB9	1
ASCL1	TPH1	-1
KAT2B	RB1	1
CEBPZ	HSPA1B	1
SSRP1	BRCA1	1
PPARG	PDK2	-1
CDC7	GLI2	1
KLF4	LAMA1	1
KLF4	LAMA3	1
KLF6	LAMA1	1
EGR1	GDF15	1
NR1I2	FGF19	1
LHX3	SLIT2	1
LHX4	SLIT2	1
FOXA1	SHH	1
SOX2	BMP4	-1
CCNT1	FANCI	1
CCNT2	FANCI	1
RUVBL2	MYC	1
TP53	PLK2	1
TP53	PLK3	1
FOXA2	TAT	1
FOXA3	TAT	1
RUVBL1	NCL	1
RUVBL2	NCL	1
KRT5	CTNNB1	1
E2F1	WASF1	1
KRT1	CTNNB1	1
CTNNB1	KRT1	1
SP1	FOXM1	1
KAT2B	IRF7	-1
FOS	CD40LG	1
MTA1	NOS2	1
NR1D1	PPARGC1A	-1
MRTFA	VCL	1
FOS	SLC10A2	-1
TP53	CDC25C	-1
DLL4	HIF1A	1
RORA	ARNTL	1
ARNTL	RORA	1
STAT5A	CSN2	1
STAT5B	CSN2	1
PRL	CSN2	1
CTNNB1	TCF7L2	1
IRF1	FOXP3	-1
CREBBP	CCND2	1
YAP1	CCN2	1
TCF7L2	IGF2BP1	1
REST	CARTPT	-1
CTNNB1	ZCCHC12	1
CKS1B	GLI2	1
JUN	CCND1	1
CCND1	JUN	1
SP7	UCMA	1
JUN	CCNA2	1
CREBBP	CCNE1	1
CREBBP	CCNE2	1
GLI1	CDK2	1
CDK1	GLI2	1
PRDX1	KLK3	1
ATF4	TRIB3	1
PTGDR	RBBP4	-1
PTGDR	RBBP8	-1
ETS1	MUC4	1
TP53	PMS2	1
STAT3	VDR	-1
ETV4	MUC4	1
STAT1	ICAM1	1
STAT3	ICAM1	1
SMAD4	RUNX1T1	1
MAPK1	JUN	1
ATF2	DUSP8	1
JUN	MAPK8	1
MAPK8	JUN	1
MAPK9	JUN	1
ATF2	DUSP5	1
MAPK3	JUN	1
ATF2	DUSP1	1
JUN	MAPK6	1
ZIC1	JUND	1
FOXA2	NR5A2	1
E2F1	TOP2A	1
PITX1	RUNX1	-1
PITX1	RUNX2	-1
TBL1X	ANKRD1	1
CBFB	GPAM	1
PIK3CA	FASLG	1
MAML1	MYC	1
MAML2	MYC	1
TFDP1	PLAU	-1
MAML3	MYC	1
MAPK9	IFNG	-1
ESR1	VEGFA	1
HOXA7	IVL	1
MAX	CCND2	1
LYL1	ERG	1
MAX	CCNB1	1
MITF	HIF1A	1
PTGDR	CBX5	-1
RELA	PTHLH	1
CCNE1	MYC	1
MYC	CCNE1	1
PPARGC1A	LEP	-1
NFATC1	CXCL8	1
NFATC2	CXCL8	1
NFATC3	CXCL8	1
CCND2	MYC	1
MYC	CCND2	1
SMARCA2	MYC	-1
MYB	CCNA1	1
CCNA2	MYC	1
MYB	CCNB1	1
CCNB1	MYC	1
MYC	CCNB1	1
TBL1XR1	GRHL1	1
HOXA9	ID2	1
NCOA1	TRIB3	1
GATA1	GYPB	1
SMAD1	TLX2	1
MYC	PEG10	1
NCOA2	TRIB3	1
NCOA6	TRIB3	1
HELZ2	CPT1A	1
SMAD9	TLX2	1
SMAD4	TLX2	1
SMAD5	TLX2	1
MECP2	ESR1	-1
PPARG	ADIPOQ	1
HIF1A	MICA	1
EP300	CD36	1
MAX	PEG10	1
SEL1L	ATF6	1
THRAP3	CEBPA	1
MED30	CD36	1
MED31	CD36	1
HHEX	HNF4A	1
FOXA1	TTR	1
IL10	TNFRSF1A	1
FOXA3	TTR	1
IL10	TNFRSF1B	1
TWIST1	ATM	1
LCK	CCND3	1
TWIST2	ATM	1
PAX5	LEF1	1
TP53	PIDD1	1
YBX1	CDH1	1
FOXA2	TPO	1
FBP1	NFKB1	1
TP53	AKT1	-1
RXRA	RGL1	1
ATF1	MAP1LC3B	1
ATF4	MAP1LC3B	1
SOX2	ZIC3	1
AR	FHL2	1
RELA	AGER	1
NR3C1	CSN2	1
IL10	CCL20	-1
IL10	CCL22	-1
IL10	CCL19	-1
RELA	PTGES	1
TFE3	LAMC1	1
FOS	CLU	-1
TP53	CX3CL1	1
RELA	PTGS2	1
GATA1	PRG2	1
FOXO3	GALT	1
RBL1	CCNA2	-1
RBL2	CCNA2	-1
USF1	TGFB1	1
USF2	TGFB1	1
USF1	TGFB2	1
USF2	TGFB2	1
SP1	CREM	1
VDR	HOXA10	1
MED25	CD36	1
MED26	CD36	1
MED27	CD36	1
MED28	CD36	1
MED21	CD36	1
MED22	CD36	1
MED23	CD36	1
MED24	CD36	1
MED20	CD36	1
RELA	NCAM1	1
FOXM1	GAS1	1
JAG1	RELA	1
MED29	CD36	1
MED14	CD36	1
MED15	CD36	1
MED16	CD36	1
MED17	CD36	1
MED10	CD36	1
MED11	CD36	1
MED12	CD36	1
MED13	CD36	1
MED18	CD36	1
MED19	CD36	1
SP2	HSD17B2	-1
JAK2	IL24	1
FGG	USF1	1
JAK2	IL19	1
JAK2	IL1B	1
CIITA	S100A4	-1
CSE1L	RRM2B	1
IL10	CSF1	-1
IL10	CSF2	-1
IL10	CSF3	-1
RELA	CSF2	-1
IL2	BCL2L1	1
NR1I2	UGT1A1	1
NR1I3	UGT1A1	1
DDIT3	BCL2L11	1
L3MBTL2	E2F1	-1
IL4	CCL22	1
FASN	AR	1
RELA	ALOX5	-1
FCER2	NOTCH2	1
NOTCH2	FCER2	1
KAT2A	MYC	1
KAT2B	MYC	1
IL6ST	STAT1	1
IL6ST	STAT3	1
DNMT1	BMP2	-1
BRCA1	HNRNPA2B1	-1
CARM1	ANKRD1	1
LEF1	SP5	1
FOXO1	NPY	1
NPY	FOXO1	1
BARD1	BRCA1	-1
TFE3	SMAD7	1
NR5A2	CYP11B1	1
RARA	CCNA1	-1
APEX1	CCL2	1
SP1	LDHA	1
GADD45B	SMAD1	1
PPARA	TXNRD1	1
EGR1	CYP2B6	1
MAX	TMEFF2	-1
MTA1	EPHA2	-1
SP1	LDLR	1
PYCR1	AR	1
TLE1	ASCL1	-1
LDB1	SLIT2	1
OGT	FOXO3	1
PAX5	CD19	1
IRF1	IRF2	1
JUN	CD40LG	1
EP300	TP73	1
LONP1	STAT3	1
LONP1	STAT1	1
CCNH	RAD51D	1
CREBBP	HOXA9	1
CCNK	RAD51D	1
EP300	KRT16	1
ROCK1	CTNNB1	-1
LHX2	PRL	1
SIRT1	HIF1A	1
KLF6	PSG3	1
KLF6	PSG5	1
IFNG	CDKN1B	1
NKX3-1	IGF1R	-1
CBFA2T3	ZNF652	-1
ADCY7	INCENP	1
FOXM1	MYC	1
MYC	FOXM1	1
FOXA1	NF1	1
TBP	S100A7	1
CCNC	PCK1	1
MSC	FOXP3	1
ITGA11	SMAD2	1
ITGA11	SMAD3	1
SUPT4H1	FANCI	1
TGS1	SLC27A1	1
PPARG	E2F1	1
E2F1	PPARG	1
SRF	FOSL1	1
FOXO4	FASLG	1
FOXO1	FASLG	1
FOXO3	FASLG	1
RBBP7	CDH1	-1
HDAC11	TNFSF4	1
KLF6	PTTG1	-1
PPARGC1A	MFN2	1
E2F1	EZH2	1
E2F2	EZH2	1
E2F3	EZH2	1
TRD@	CTNNB1	1
RELA	BCL2L11	-1
C7ORF68	CTNNB1	1
IL13	ALOX5	-1
RELA	PTAFR	1
RELA	CRHR1	1
PIM1	LECT2	1
ELL	BAX	-1
JUN	CTSL	1
IL10	PTAFR	1
CETP	YY1	1
TXLNG	MGP	-1
TP63	GPX2	1
TP53	GPX1	1
MYC	GTF2H2	-1
GTF2H2	MYC	-1
CDK8	PCK1	1
NFATC3	IL3	1
NFATC1	IL5	1
IL5	NFATC1	1
NFATC2	IL5	1
NFATC3	IL5	1
NFATC1	IL3	1
NFATC2	IL3	1
CD8A	EOMES	1
CD8B	EOMES	1
MAX	HSP90AA1	1
CD247	FOS	1
TP63	CDKN2A	-1
ERBB2	RBPJ	1
PPARGC1A	SIRT3	1
CLOCK	AVP	1
MAPK1	FOS	1
MAPK3	FOS	1
JAK2	IFNG	1
TFAP4	SALL2	1
CDK7	RAD51D	1
CDK9	RAD51D	1
USF1	FMR1	1
TNRC6A	MYC	-1
USF2	FMR1	1
TNRC6B	MYC	-1
TNRC6C	MYC	-1
CSDA	MYC	1
RBBP4	CDC6	-1
RING1	E2F1	-1
PTGDR	RBL1	1
NELFCD	CCND1	-1
STAT5A	CCNA2	1
TWIST1	FN1	1
STAT5B	CCNA2	1
TWIST2	FN1	1
E2F1	CES5A	1
RUNX2	CDKN1A	-1
IL2	CCND3	1
MAX	GTF2H2	-1
E2F1	CES4A	1
TWIST1	FOS	1
TWIST2	FOS	1
SP3	IGFBP3	1
SP1	IGFBP3	1
CBFB	SOCS3	-1
CBFB	SOCS4	-1
SREBF1	FDFT1	1
FDFT1	SREBF1	1
SREBF2	FDFT1	1
FDFT1	SREBF2	1
HIF1A	TF	1
TNRC6A	NLK	-1
TNRC6B	NLK	-1
TNRC6C	NLK	-1
EBF1	CEBPA	1
CEBPB	EBF1	1
CEBPD	EBF1	1
STAT5A	CCND3	1
STAT5B	CCND2	1
STAT5B	CCND3	1
IRF1	DDX58	1
YY1	CFTR	1
AHR	CA9	-1
CD3D	EOMES	1
CD3E	EOMES	1
CD3G	EOMES	1
NANOG	GATA2	-1
NANOG	GATA4	-1
NANOG	GATA6	-1
FBP1	NR1H2	-1
FBP1	NR1H3	-1
FOXO1	CXCR4	1
SF1	CYP11A1	1
HDAC1	CDK1	-1
GTF2H5	MDC1	1
GTF2H1	MDC1	1
GTF2H2	MDC1	1
GTF2H3	MDC1	1
GTF2H4	MDC1	1
EZH2	MMP2	1
MMP13	FOSL2	1
GTF2F1	MDC1	1
GTF2F2	MDC1	1
HIF1A	AR	1
MYC	HSP90AA1	1
HSP90AA2	MYC	1
SP3	CNMD	1
HIF1A	CP	1
HSP90AB1	MYC	1
TOB2	CTNNB1	1
STAT3	PGF	-1
JUN	BCL2L1	1
CARM1	GLIPR1	1
HDAC1	CDH1	-1
ELOA	BRCA1	1
HDAC2	CDH1	-1
ELOB	BRCA1	1
HDAC3	CDH1	-1
ELOC	BRCA1	1
IRF1	CIITA	1
IRF2	CIITA	1
ETS2	MSR1	1
APEX1	CD19	1
RUNX3	TIAL1	-1
USF1	APC	1
USF2	APC	1
E2F1	MCPH1	1
TFPI2	NFKB1	1
PRL	FOXO1	1
USF1	B2M	1
HIF1A	MCL1	1
CYP24A1	CTNNB1	1
CDX1	PCNA	1
USF2	B2M	1
HIST1H2AB	CCND1	1
HIST1H2AC	CCND1	1
HIST1H2AJ	CCND1	1
HAX1	ATP2A2	-1
HIST1H2AD	CCND1	1
HIST1H2BA	CCND1	1
HIST1H2BB	CCND1	1
HIST1H2BD	CCND1	1
HIST1H2BJ	CCND1	1
HIST1H2BK	CCND1	1
HIST1H2BL	CCND1	1
HIST1H2BG	CCND1	1
HIST1H2BH	CCND1	1
HIST1H2BM	CCND1	1
HIST1H2BN	CCND1	1
HIST1H2BO	CCND1	1
MRTFA	SRF	1
ESRRA	NRIP1	1
MECP2	CCND1	-1
LMO1	MYB	1
LMO2	MYB	1
MYB	LMO2	1
EGFR	EGR1	1
EGR1	EGFR	1
ZNF175	ETS1	1
EGR1	NAB2	1
EGR3	NAB2	1
GAB2	CCND3	1
MYB	MAT2A	1
CLK2	GLI2	1
CLOCK	NR0B2	1
SP1	CCND1	1
SP1	CCND2	1
NCOR1	ARNTL	-1
GATA4	HAMP	1
TCF7L2	BIRC5	1
BIRC7	TCF7L2	1
MED1	AGT	1
TGS1	CPT1A	1
MAX	PMAIP1	1
MBD1	SETDB1	-1
FOXO3	PCK1	1
FOXO4	PCK1	1
HOXA5	PGR	1
FOXO1	PCK1	1
BATF3	IL2	-1
EP300	LDHA	1
FOXO1	SREBF1	-1
RUNX3	JAG1	-1
MITF	PPARGC1A	1
TP53	PRDM1	1
AGO1	RUNX1	-1
AGO2	RUNX1	-1
AGO3	RUNX1	-1
AGO4	RUNX1	-1
MDC1	ATR	1
ATR	MDC1	1
MDC1	ATM	1
ATM	MDC1	1
HDAC1	CD44	-1
LEF1	NRCAM	1
HDAC2	CD1D	-1
HDAC1	CD1D	-1
HDAC1	CD82	-1
MYB	ELANE	1
MYOCD	TAGLN	1
FOXA2	PCK1	1
FOXA3	PCK1	1
HOXA10	IL11	-1
TP73	NTRK1	-1
TAF4	ATF7	-1
NR5A1	CYP17A1	1
CLOCK	NR1D1	1
NR3C1	CYP19A1	1
JAK1	IRF4	1
JAK3	IRF4	1
MTUS1	GLI1	-1
SP1	ALOX12	1
SP3	ALOX12	1
PTGS2	CREB1	1
CREB1	PTGS2	1
PRMT1	TFF1	1
NHLH2	MAOA	1
STAT3	NDN	-1
SIRT2	AFP	1
TWIST1	RBL2	-1
TWIST2	RBL2	-1
IGFBP6	GLI1	1
MITF	OCA2	1
ESR1	NDUFV3	1
RELA	SAA2	1
SAA2	RELA	1
IL23R	CD4	1
IL18R1	NOS2	1
IL23A	CD4	1
POU5F1	ITGA6	1
SREBF1	IDI1	1
SREBF2	IDI1	1
FAM120B	PCK1	1
FOXA1	UGT2B17	1
KCNIP3	GCM1	-1
NR1I2	BCL2L1	1
ACTA2	RBPJ	-1
PRMT1	ITGA2B	1
CCL2	CTNNB1	1
LCK	BCL2L1	1
PHOX2A	DBH	1
PHOX2B	DBH	1
CTNNB1	CCN1	1
MED4	FABP4	1
MED6	FABP4	1
MED7	FABP4	1
MED1	FABP4	1
MED1	FABP1	1
MED8	FABP4	1
MED9	FABP4	1
SP1	HMGCS2	1
CD14	CTNNB1	1
IRF9	NCAM1	1
STAT4	MSN	-1
OTX2	AURKA	1
SP1	LRP5	1
CD44	CTNNB1	1
MUC1	STAT1	1
STAT1	MUC1	1
MUC1	STAT3	1
STAT3	MUC1	1
STAT1	MUC4	1
NFKB1	CXCL10	1
NFKB1	CXCL12	1
STAT3	MUC4	1
ATF2	IFNG	1
ATF3	IFNG	1
LIN9	RBL1	-1
TBX2	CDKN2A	-1
CDKN2A	TBX2	-1
TBX3	CDKN2A	-1
MLXIPL	THRB	1
RPS15A	MYC	1
MED1	G0S2	1
SIRT1	FASLG	-1
RARA	CDKN1A	1
APC	ODC1	-1
TBX2	CDKN1A	-1
TBX3	CDKN1A	-1
TMEM47	FOXO1	1
CHD9	APOA1	1
CHD9	APOA2	1
CHD9	APOA5	1
CLEC2B	GLI2	-1
SP1	CD2AP	1
SP3	CD2AP	1
IL27RA	IL2	-1
IL2	IL27RA	-1
EBF1	PPARG	1
FANCD2	CDKN2A	-1
ESR1	ATP5PF	1
CARM1	TRIB3	1
GABPA	MTERF1	1
DDIT3	ATG5	1
SALL4	PTEN	-1
ATF6	DDIT3	1
ATF2	DDIT3	1
ATF3	DDIT3	1
ATF4	DDIT3	1
ATF4	DDIT4	1
DDT	AR	1
CREB1	HMOX1	-1
DBI	AR	1
RNF2	CDC7	-1
IL37	PTPN2	1
IL37	PTPN4	1
IL37	PTPN5	1
IL37	PTPN6	1
IL37	PTPN7	1
IL37	PTPN9	1
STAT4	MTAP	1
GATA1	HBP1	1
CD3D	PRF1	1
CD3E	PRF1	1
CD3G	PRF1	1
CDKN1B	RBPJ	1
CDKN1A	RBPJ	1
RBPJ	CDKN1A	1
ERG	FGF2	-1
ELL	MDC1	1
CD28	PRF1	1
PIM1	FOSL1	1
PDX1	FOXA2	1
FOXA2	PDX1	1
CBFB	SMAD6	1
PDK4	FOXO1	1
NR1I2	NFKB1	-1
CD80	PRF1	1
ITGAV	ILK	1
HIP1	KLK3	1
ITGB3	ILK	1
ETS1	EGR1	1
CD8A	PRF1	1
CD8B	PRF1	1
MYC	TMEFF2	-1
CD86	PRF1	1
RELA	SDC1	1
SPI1	BCL6	-1
YY1	CTCF	1
TTC9	CTNNB1	1
TGFB1	IL17A	1
ELOA2	ATM	1
ELOA3	ATM	1
